,Cell Index,Cell X,Cell Y,Height,Azimuth,Electrical Downtilt,Mechanical Downtilt,Frequency Band,RS Power,Cell Altitude,Cell Building Height,Cell Clutter Index,X,Y,Altitude,Building Height,Clutter Index,RSRP,x_,y_
0,1232201,408455.0,3395855.0,29,260,6,5,2585.0,12.2,507,21,13,408435,3395705,506,6,5,-108.67,-28.849639879698522,9.148676342056742
1,1232201,408455.0,3395855.0,29,260,6,5,2585.0,12.2,507,21,13,408315,3395905,505,0,5,-91.8,14.710226504796129,25.83813530767252
2,1232201,408455.0,3395855.0,29,260,6,5,2585.0,12.2,507,21,13,408300,3395920,505,21,5,-97.6,18.185594296833546,28.271614033708353
3,1232201,408455.0,3395855.0,29,260,6,5,2585.0,12.2,507,21,13,408310,3395910,505,21,5,-96.83,15.868682435475268,26.6492948830178
4,1232201,408455.0,3395855.0,29,260,6,5,2585.0,12.2,507,21,13,408320,3395780,504,21,5,-90.73,-10.083615498176002,29.19453199633357
5,1232201,408455.0,3395855.0,29,260,6,5,2585.0,12.2,507,21,13,408275,3395865,504,21,5,-109.0,8.220949902033908,35.10578275310563
6,1232201,408455.0,3395855.0,29,260,6,5,2585.0,12.2,507,21,13,408345,3395795,504,0,5,-71.51,-7.997433127474029,23.74954869827174
7,1232201,408455.0,3395855.0,29,260,6,5,2585.0,12.2,507,21,13,408210,3395970,506,0,5,-96.8,31.159339024960374,44.2616718112588
8,1232201,408455.0,3395855.0,29,260,6,5,2585.0,12.2,507,21,13,408355,3395785,504,0,5,-70.21,-10.314344988832305,22.127229547581184
9,1232201,408455.0,3395855.0,29,260,6,5,2585.0,12.2,507,21,13,408280,3395900,505,9,5,-93.33,14.940955995452434,32.90543775642491
10,1232201,408455.0,3395855.0,29,260,6,5,2585.0,12.2,507,21,13,408440,3395740,506,0,5,-95.37,-22.129633786279996,6.948331345376022
11,1232201,408455.0,3395855.0,29,260,6,5,2585.0,12.2,507,21,13,408305,3395915,505,21,5,-96.56,17.027138366154404,27.460454458363078
12,1232201,408455.0,3395855.0,29,260,6,5,2585.0,12.2,507,21,13,408335,3395765,504,0,5,-70.2,-13.558983290213416,26.761053270297737
13,1232201,408455.0,3395855.0,29,260,6,5,2585.0,12.2,507,21,13,408340,3395800,504,21,5,-76.2,-6.838977196794891,24.56070827361702
14,1232201,408455.0,3395855.0,29,260,6,5,2585.0,12.2,507,21,13,408325,3395775,504,0,5,-74.92,-11.24207142885514,28.383372420988294
15,1232201,408455.0,3395855.0,29,260,6,5,2585.0,12.2,507,21,13,408285,3395895,505,9,5,-91.56,13.782500064773295,32.09427818107963
16,1232201,408455.0,3395855.0,29,260,6,5,2585.0,12.2,507,21,13,408330,3395770,504,0,5,-73.02,-12.400527359534276,27.572212845643016
17,1232201,408455.0,3395855.0,29,260,6,5,2585.0,12.2,507,21,13,408360,3395820,505,0,5,-74.39,-3.5943388954137796,19.926884550900468
18,1232201,408455.0,3395855.0,29,260,6,5,2585.0,12.2,507,21,13,408370,3395810,505,0,5,-75.24,-5.9112507567720565,18.30456540020991
19,1232201,408455.0,3395855.0,29,260,6,5,2585.0,12.2,507,21,13,408445,3395735,506,0,5,-95.64,-23.28808971695913,6.137171770030744
20,1232201,408455.0,3395855.0,29,260,6,5,2585.0,12.2,507,21,13,408385,3395835,505,0,2,-78.2,-1.5081565247118074,14.481901252838634
21,1232201,408455.0,3395855.0,29,260,6,5,2585.0,12.2,507,21,13,408365,3395815,505,0,5,-76.73,-4.752794826092918,19.11572497555519
22,1232201,408455.0,3395855.0,29,260,6,5,2585.0,12.2,507,21,13,408215,3395965,506,0,5,-98.57,30.000883094281235,43.450512235913514
23,1232201,408455.0,3395855.0,29,260,6,5,2585.0,12.2,507,21,13,408380,3395840,505,0,2,-77.88,-0.3497005940326692,15.293060828183911
24,1232201,408455.0,3395855.0,29,260,6,5,2585.0,12.2,507,21,13,408375,3395805,505,0,5,-78.13,-7.069706687451195,17.49340582486463
25,1232201,408455.0,3395855.0,29,260,6,5,2585.0,12.2,507,21,13,408350,3395790,504,0,5,-67.96,-9.155889058153168,22.938389122926463
26,1232201,408455.0,3395855.0,29,260,6,5,2585.0,12.2,507,21,13,408390,3395830,505,0,2,-77.95,-2.6666124553909456,13.670741677493357
27,1232201,408455.0,3395855.0,29,260,6,5,2585.0,12.2,507,21,13,408455,3395725,506,0,5,-95.0,-25.60500157831741,4.514852619340188
28,1232201,408455.0,3395855.0,29,260,6,5,2585.0,12.2,507,21,13,408470,3395750,506,0,5,-98.0,-21.20190734625716,0.6921884719689131
29,1232201,408455.0,3395855.0,29,260,6,5,2585.0,12.2,507,21,13,408295,3395885,505,0,5,-95.33,11.465588203415018,30.471959030389076
30,1232201,408455.0,3395855.0,29,260,6,5,2585.0,12.2,507,21,13,408395,3395825,505,21,2,-79.79,-3.825068386070084,12.859582102148078
31,1232201,408455.0,3395855.0,29,260,6,5,2585.0,12.2,507,21,13,408290,3395890,505,9,5,-95.0,12.624044134094156,31.28311860573435
32,1232201,408455.0,3395855.0,29,260,6,5,2585.0,12.2,507,21,13,408450,3395730,506,0,13,-95.36,-24.44654564763827,5.326012194685466
33,1232201,408455.0,3395855.0,29,260,6,5,2585.0,12.2,507,21,13,408255,3395845,504,21,5,-115.5,4.976311600652797,39.73960647582218
