,Cell Index,Cell X,Cell Y,Height,Azimuth,Electrical Downtilt,Mechanical Downtilt,Frequency Band,RS Power,Cell Altitude,Cell Building Height,Cell Clutter Index,X,Y,Altitude,Building Height,Clutter Index,RSRP,x_,y_
0,1261401,406455.0,3395410.0,29,300,6,4,2585.0,12.2,505,0,5,406285,3395360,506,0,6,-114.0,-25.66025403784439,24.444863728670914
1,1261401,406455.0,3395410.0,29,300,6,4,2585.0,12.2,505,0,5,406215,3395430,507,0,5,-127.0,-20.535898384862254,43.569219381653056
2,1261401,406455.0,3395410.0,29,300,6,4,2585.0,12.2,505,0,5,406165,3395400,505,0,13,-102.88,-30.732050807568886,49.22947341949744
3,1261401,406455.0,3395410.0,29,300,6,4,2585.0,12.2,505,0,5,406295,3395350,506,0,5,-113.5,-26.392304845413268,21.712812921102035
4,1261401,406455.0,3395410.0,29,300,6,4,2585.0,12.2,505,0,5,406385,3395410,505,24,5,-91.67,-7.000000000000002,12.12435565298214
5,1261401,406455.0,3395410.0,29,300,6,4,2585.0,12.2,505,0,5,406265,3395450,508,21,6,-101.5,-12.071796769724495,36.90896534380867
6,1261401,406455.0,3395410.0,29,300,6,4,2585.0,12.2,505,0,5,406255,3395480,509,0,12,-89.5,-7.875644347017863,41.64101615137754
7,1261401,406455.0,3395410.0,29,300,6,4,2585.0,12.2,505,0,5,406345,3395370,506,0,5,-94.0,-17.92820323027551,15.05255888325765
8,1261401,406455.0,3395410.0,29,300,6,4,2585.0,12.2,505,0,5,406350,3395375,506,0,5,-89.25,-16.562177826491073,14.686533479473212
9,1261401,406455.0,3395410.0,29,300,6,4,2585.0,12.2,505,0,5,406340,3395365,506,0,5,-89.2,-19.294228634059948,15.418584287042087
10,1261401,406455.0,3395410.0,29,300,6,4,2585.0,12.2,505,0,5,406360,3395425,504,24,5,-90.45,-6.901923788646686,17.954482671904334
11,1261401,406455.0,3395410.0,29,300,6,4,2585.0,12.2,505,0,5,406310,3395495,506,0,12,-92.29,0.22243186433545326,33.61473670974872
12,1261401,406455.0,3395410.0,29,300,6,4,2585.0,12.2,505,0,5,406375,3395440,504,0,5,-91.72,-2.8038475772933698,16.856406460551018
13,1261401,406455.0,3395410.0,29,300,6,4,2585.0,12.2,505,0,5,406315,3395500,506,0,12,-90.68,1.5884572681198907,33.248711305964285
14,1261401,406455.0,3395410.0,29,300,6,4,2585.0,12.2,505,0,5,406280,3395505,508,0,12,-92.37,-1.04551732809567,39.81088913245535
15,1261401,406455.0,3395410.0,29,300,6,4,2585.0,12.2,505,0,5,406300,3395485,506,0,12,-89.45,-2.5096189432334253,34.3467875173176
16,1261401,406455.0,3395410.0,29,300,6,4,2585.0,12.2,505,0,5,406390,3395415,505,0,12,-90.94,-5.633974596215563,11.758330249197702
17,1261401,406455.0,3395410.0,29,300,6,4,2585.0,12.2,505,0,5,406285,3395510,508,0,12,-93.55,0.3205080756887675,39.44486372867092
18,1261401,406455.0,3395410.0,29,300,6,4,2585.0,12.2,505,0,5,406295,3395520,507,0,5,-92.87,3.052558883257646,38.712812921102035
